,Sección,Nombre,Categoría,Imagen
0,Alfombra,ALF1,Arabe  ,https://atrezzovazquez.es/admin/img_prod/ALF1/ALF1-720x540.png
1,Adornos,ADO1,,https://atrezzovazquez.es/admin/img_prod/ADO1/ADO1-720x540.png
2,Alfombra de cama,AFC1,Dormitorio  ,https://atrezzovazquez.es/admin/img_prod/AFC1/AFC1-720x540.png
3,Aparador,AP1,Alemán  Comedor  ,https://atrezzovazquez.es/admin/img_prod/AP1/AP1-720x540.png
4,Atrezzo astronomia,AST1,Astronomía  ,https://atrezzovazquez.es/admin/img_prod/AST1/AST1-pie-720x540.png
5,Tortura,TOR1,Carcel  ,https://atrezzovazquez.es/admin/img_prod/TOR1/TOR1-1-720x540.png
6,Arcon,ARC1,Dormitorio  ,https://atrezzovazquez.es/admin/img_prod/ARC1/ARC1-1-720x540.png
7,Armario,AR1,Dormitorio  ,https://atrezzovazquez.es/admin/img_prod/AR1/AR1-720x540.png
8,Armero,ARM1,Militar  ,https://atrezzovazquez.es/admin/img_prod/ARM1/ARM1-1-720x540.png
9,Ataud,ATD1,,https://atrezzovazquez.es/admin/img_prod/ATD1/ATD1-1-720x540.png
10,Atril,ATR1,Religioso  ,https://atrezzovazquez.es/admin/img_prod/ATR1/ATR1-1-720x540.png
11,Balancin,BL1,Columpio  Jardín  ,https://atrezzovazquez.es/admin/img_prod/BL1/BL1-1-720x540.png
12,Banco,BAC1,Portugues  ,https://atrezzovazquez.es/admin/img_prod/BAC1/BAC1-1-720x540.png
13,Banqueta,BAN1,Bambú  Jardín  ,https://atrezzovazquez.es/admin/img_prod/BAN1/BAN1-1-720x540.png
14,Mesa,M1,Jardín  ,https://atrezzovazquez.es/admin/img_prod/M1/M1-1-720x540.png
15,Baño,BA1,Bañera  ,https://atrezzovazquez.es/admin/img_prod/BA1/BA1-1-720x540.png
16,Bargueño,BAR1,Gótico  ,https://atrezzovazquez.es/admin/img_prod/BAR1/BAR1-1-720x540.png
17,Barril,BRL1,Bar y cafetería  Rústico  ,https://atrezzovazquez.es/admin/img_prod/BRL1/BRL1-1-720x540.png
18,Bascula,BAS1,Farmacia  Hospital  ,https://atrezzovazquez.es/admin/img_prod/BAS1/BAS1-1-720x540.png
19,Baul,BAU1,Americano  Viaje  ,https://atrezzovazquez.es/admin/img_prod/BAU1/BAU1-1-720x540.png
20,Bebé,BEB1,Columpio  ,https://atrezzovazquez.es/admin/img_prod/BEB1/BEB1-720x540.png
21,Perchero,PER1,Español  Recibidor  ,https://atrezzovazquez.es/admin/img_prod/PER1/PER1-720x540.png
22,Escaleras,ESC1,Tienda  ,https://atrezzovazquez.es/admin/img_prod/ESC1/ESC1-720x540.png
23,Biombo,BIO1,Dormitorio  ,https://atrezzovazquez.es/admin/img_prod/BIO1/BIO1-1-720x540.png
24,Bis a bis,BIS1,Salón  ,https://atrezzovazquez.es/admin/img_prod/BIS1/BIS1-1-720x540.png
25,Brasero,BRA1,Calefaccion  Medieval  ,https://atrezzovazquez.es/admin/img_prod/BRA1/BRA1-1-720x540.png
26,Butaca de cine,BUT1,Cine  Teatro  ,https://atrezzovazquez.es/admin/img_prod/BUT1/BUT1-1-720x540.png
27,Caballete,CAB1,Frances  Pintor  ,https://atrezzovazquez.es/admin/img_prod/CAB1/CAB1-1-720x540.png
28,Caja registradora,CAR1,Tienda  ,https://atrezzovazquez.es/admin/img_prod/CAR1/CAR1-1-720x540.png
29,Caja fuerte,CF1,,https://atrezzovazquez.es/admin/img_prod/CF1/CF1-720x540.png
30,Caja,CAJ1,Cajas  Militar  ,https://atrezzovazquez.es/admin/img_prod/CAJ1/CAJ1-1-720x540.png
31,Cama,CA1,Cabecero  Dormitorio  ,https://atrezzovazquez.es/admin/img_prod/CA1/CA1-720x540.png
32,Reclinatorio,REC1,Iglesia  Religioso  ,https://atrezzovazquez.es/admin/img_prod/REC1/REC1-1-720x540.png
33,Carretilla,CARR1,Rústico  ,https://atrezzovazquez.es/admin/img_prod/CARR1/CARR1-1-720x540.png
34,Carro de servicio,CSE1,Jardín  Mimbre  ,https://atrezzovazquez.es/admin/img_prod/CSE1/CSE1-1-720x540.png
35,Catenaria,CTN1,,https://atrezzovazquez.es/admin/img_prod/CTN1/CT1-720x540.png
36,Chaiselongue,CH1,Salón  ,https://atrezzovazquez.es/admin/img_prod/CH1/CH1-720x540.png
37,Cocinas,CO1,Cocina  Electrodomestico  ,https://atrezzovazquez.es/admin/img_prod/CO1/CO1-2-720x540.png
38,Comoda,COM1,Dormitorio  Isabelino  ,https://atrezzovazquez.es/admin/img_prod/COM1/COM1-1-720x540.png
39,Consola,CON1,Frances  Recibidor  ,https://atrezzovazquez.es/admin/img_prod/CON1/CON1-1-720x540.png
40,Cuadro,COS1,Costurero  ,https://atrezzovazquez.es/admin/img_prod/COS1/COS01.bmp
41,Carteles y anuncios,CU1,Palacio  Pintor  Retratos  ,https://atrezzovazquez.es/admin/img_prod/CU1/CU1-720x540.png
42,Espejo,ANU1,Tienda  ,https://atrezzovazquez.es/admin/img_prod/ANU1/ANU1-720x540.png
43,Estanteria,ESP1,Dormitorio  Frances  ,https://atrezzovazquez.es/admin/img_prod/ESP1/ESP1-720x540.png
44,Estufa,ES1,Descatalogado  ,https://atrezzovazquez.es/admin/img_prod/ES1/LOGOTIPO VAZQUEZ- 720x540.png
45,Estatua,EST1,Calefaccion  ,https://atrezzovazquez.es/admin/img_prod/EST1/EST1-720x540.png
46,Aspiradoras,ESTAT1,Religioso  ,https://atrezzovazquez.es/admin/img_prod/ESTAT1/ESTAT1-1-720x540.png
47,Galan de noche,ASP1,Electrodomestico  ,https://atrezzovazquez.es/admin/img_prod/ASP1/ASP1-720x540.png
48,Aguamaniles,GN1,Dormitorio  ,https://atrezzovazquez.es/admin/img_prod/GN1/GN1-1-720X540.png
49,Animales disecados en panoplia,AGU1,Dormitorio  ,https://atrezzovazquez.es/admin/img_prod/AGU1/AGU1-720x450.png
50,Fichero,ADP1,,https://atrezzovazquez.es/admin/img_prod/ADP1/ADP1-1-720x540.png
51,Instrumentos musicales,F1,Despacho  ,https://atrezzovazquez.es/admin/img_prod/F1/F1-1-720x540.png
52,Deporte,MUS1,Piano  ,https://atrezzovazquez.es/admin/img_prod/MUS1/MUS1-1-720x540.png
53,Lámpara,DPT1,Gimnasio  ,https://atrezzovazquez.es/admin/img_prod/DPT1/GIM1 720x540.png
54,Artículos de fumador,LAM1,Lámpara de mesa  Salón  ,https://atrezzovazquez.es/admin/img_prod/LAM1/LAM1-720X540.png
55,Azulejos y platos de pared,FUM1,Cajas  ,https://atrezzovazquez.es/admin/img_prod/FUM1/FUM1-720x540.png
56,Bandejas,AZP1,Decoración  ,https://atrezzovazquez.es/admin/img_prod/AZP1/AZP1-720x540.png
57,Atrezzo de bar y cafetería,BAD1,,https://atrezzovazquez.es/admin/img_prod/BAD1/BAD1-720x540.png
58,Atrezzo colegio,BYC1,Bar y cafetería  ,https://atrezzovazquez.es/admin/img_prod/BYC1/BYC1-720x540.png
59,Atrezzo despacho,COL1,Colegio  ,https://atrezzovazquez.es/admin/img_prod/COL1/COL1-720x540.png
60,Alacena,DES1,Despacho  Escribanías y tinteros  ,https://atrezzovazquez.es/admin/img_prod/DES1/DES1(1)-720x540.png
61,Moda y costura,ALA1,Descatalogado  ,https://atrezzovazquez.es/admin/img_prod/ALA1/LOGOTIPO VAZQUEZ- 720x540.png
62,Vitrina,CST1,Avíos de costura  ,https://atrezzovazquez.es/admin/img_prod/CST1/CST1-720x540.png
63,Cementerio,VI1,Comedor  Salón  ,https://atrezzovazquez.es/admin/img_prod/VI1/VI1-1-720x540.png
64,Chimenea,CEM1,Cruces  ,https://atrezzovazquez.es/admin/img_prod/CEM1/CEM1-720X540.png
65,Cristalería,CHI1,,https://atrezzovazquez.es/admin/img_prod/CHI1/CHI1-720x540.png
66,Macetero,CRI1,Bomboneras  ,https://atrezzovazquez.es/admin/img_prod/CRI1/CRI1-720x540.png
67,Mesilla,MC1,Comedor  Gótico  Salón  ,https://atrezzovazquez.es/admin/img_prod/MC1/MC1-1-720x540.png
68,Ventilador,ME1,Dormitorio  Frances  ,https://atrezzovazquez.es/admin/img_prod/ME1/ME1-1-720x540.png
69,Reloj,VET1,,https://atrezzovazquez.es/admin/img_prod/VET1/VET1-720x540.png
70,Telefonía,REL1,Inglesa  Salón  ,https://atrezzovazquez.es/admin/img_prod/REL1/REL1-1-720x540.png
71,Maletas y neceseres de viaje,TEL1,,https://atrezzovazquez.es/admin/img_prod/TEL1/TEL1-2-720x540.png
72,Maletines y carteras,MYN1,Viaje  ,https://atrezzovazquez.es/admin/img_prod/MYN1/MYN1-720x540.png
73,Libros y revistas,MYC1,,https://atrezzovazquez.es/admin/img_prod/MYC1/MYC1-720x540.png
74,Urnas,LYR1,,https://atrezzovazquez.es/admin/img_prod/LYR1/LYR1-720x540.png
75,Objetos de tocador,URN1,,https://atrezzovazquez.es/admin/img_prod/URN1/URN1-720x540.png
76,Vajilla,TOC1,Tocador  ,https://atrezzovazquez.es/admin/img_prod/TOC1/TOC1-720x540.png
77,Juguetes,VAJ1,Comedor  ,https://atrezzovazquez.es/admin/img_prod/VAJ1/VAJ1-720x540.png
78,Jarrones y jarras,JUG1,Juguete  ,https://atrezzovazquez.es/admin/img_prod/JUG1/JUG1-720x540.png
79,Logicine,JAR1,Adorno  Decoración  Salón  ,https://atrezzovazquez.es/admin/img_prod/JAR1/JAR1-720x540.png
80,Televisores y vídeos,LOG1,Hospital  ,https://atrezzovazquez.es/admin/img_prod/LOG1/LOG1-1-720x540.png
81,Tocadiscos y altavoces,TYV1,Televisor  ,https://atrezzovazquez.es/admin/img_prod/TYV1/TYV1-1-720x540.png
82,Sombrereras,MYS1,Altavoces  Electrónica  Musica  Sonido  ,https://atrezzovazquez.es/admin/img_prod/MYS1/MYS1-720x540.png
83,Tapices y estandartes,SOM1,Viaje  ,https://atrezzovazquez.es/admin/img_prod/SOM1/SOM1-720x540.png
84,Librería,TP1,Iglesia  Medieval  ,https://atrezzovazquez.es/admin/img_prod/TP1/TP1-720x540.png
85,Juzgado,ML1,Despacho  Inglesa  ,https://atrezzovazquez.es/admin/img_prod/ML1/ML1-1-720x540.png
86,Atrezzo medicina,JUZ1,Juzgados  ,https://atrezzovazquez.es/admin/img_prod/JUZ1/JUZ1-720x540-removebg-preview.png
87,Hospitales,MED1,Hospital  Medicina  ,https://atrezzovazquez.es/admin/img_prod/MED1/MED1-720x540.png
88,Atrezzo vario,HOS1,Hospital  Medicina  ,https://atrezzovazquez.es/admin/img_prod/HOS1/HOS1-720x540.png
89,Gramófonos y gramolas,VAA1,Adorno  Varios cocina  ,https://atrezzovazquez.es/admin/img_prod/VAA1/VAA1-720x540.png
90,Atrezzo Árabe,GRA1,Musica  ,https://atrezzovazquez.es/admin/img_prod/GRA1/GRA1-720x540.png
91,Sillón,ARA1,Arabe  ,https://atrezzovazquez.es/admin/img_prod/ARA1/ARA1-1-720x540.png
92,Radios,SI1,Isabelino  Salón  Sillería  ,https://atrezzovazquez.es/admin/img_prod/SI1/SI1-1-720x540.png
93,Jamuga,RAD1,Descatalogado  ,https://atrezzovazquez.es/admin/img_prod/RAD1/LOGOTIPO VAZQUEZ- 720x540.png
94,Muebles varios,JAM1,Navidad  ,https://atrezzovazquez.es/admin/img_prod/JAM1/JAM1-1-720x540.png
95,Jaula,MV1,Chifonier  Frances  ,https://atrezzovazquez.es/admin/img_prod/MV1/MV1-1-720x540.png
96,Juego,JAU1,,https://atrezzovazquez.es/admin/img_prod/JAU1/JAU1-720x540.png
97,Juguetero,JUE1,Casino  ,https://atrezzovazquez.es/admin/img_prod/JUE1/JUE1-720x540.png
98,Silla,JU1,,https://atrezzovazquez.es/admin/img_prod/JU1/JU1-1-720x540.png
99,Litera de mano,SIL1,Isabelino  Sillería  ,https://atrezzovazquez.es/admin/img_prod/SIL1/SIL1 (HAY 4) 720x540.png
100,Mecedora,LM1,Edad media  ,https://atrezzovazquez.es/admin/img_prod/LM1/LM1-1-720X540.png
101,Mostrador,MEC1,Curvado  ,https://atrezzovazquez.es/admin/img_prod/MEC1/MEC1-1-720x540.png
102,Sofá,MOS1,Tienda  ,https://atrezzovazquez.es/admin/img_prod/MOS1/MOS1-1-720x540.png
103,Iluminación,S1,Isabelino  Salón  Sillería  ,https://atrezzovazquez.es/admin/img_prod/S1/S1-1-720x540.png
104,Pie de vela,ILU1,Calle  ,https://atrezzovazquez.es/admin/img_prod/ILU1/ILU001__MOU021___HAY_7_-removebg-preview.png
105,Secreter,PV1,Hachero  Iglesia  Medieval  ,https://atrezzovazquez.es/admin/img_prod/PV1/PV1-720x540.png
106,Peluquería,SEC1,Americano  Salón  ,https://atrezzovazquez.es/admin/img_prod/SEC1/SEC1-1-720x540.png
107,Silla de ruedas,PEL1,,https://atrezzovazquez.es/admin/img_prod/PEL1/PEL1-1-720x540.png
108,Pizarra,SR1,Hospital  ,https://atrezzovazquez.es/admin/img_prod/SR1/SR1-720x540.png
109,Buzones,PC1,Colegio  ,https://atrezzovazquez.es/admin/img_prod/PC1/PC1-720x540.png
110,Cámara fotos y vídeo,BUZ1,Portal  ,https://atrezzovazquez.es/admin/img_prod/BUZ1/BUZ1-1-720x540.png
111,Quinqués,CAM1,Cámaras de fotos  ,https://atrezzovazquez.es/admin/img_prod/CAM1/CAM1-720x540.png
112,Revistero,QIN1,,https://atrezzovazquez.es/admin/img_prod/QIN1/QIN1-720x540.png
113,Mobiliario urbano,REV1,Salón  ,https://atrezzovazquez.es/admin/img_prod/REV1/REV1-1-720x540.png
114,Centro de mesa,MOU1,Descatalogado  ,https://atrezzovazquez.es/admin/img_prod/MOU1/LOGOTIPO VAZQUEZ- 720x540.png
115,Papelera,CDM1,Adorno  ,https://atrezzovazquez.es/admin/img_prod/CDM1/CDM1-720x540.png
116,Figuras,PAP1,,https://atrezzovazquez.es/admin/img_prod/PAP1/PAP1-720x540.png
117,Playa,FIG1,Adorno  ,https://atrezzovazquez.es/admin/img_prod/FIG1/FIG1-720x540.png
118,Religión,PLA1,Hamaca  Jardín  ,https://atrezzovazquez.es/admin/img_prod/PLA1/PLA1-1-720x540.png
119,Rural,REG1,Iglesia  ,https://atrezzovazquez.es/admin/img_prod/REG1/REG1-720x540.png
120,Paragüero,RU1,Rústico  Artesa  ,https://atrezzovazquez.es/admin/img_prod/RU1/RU1-720x540.png
121,Guarnición,PAR1,,https://atrezzovazquez.es/admin/img_prod/PAR1/PAR1-720x540.png
122,Puerta,GUA1,Imperio  ,https://atrezzovazquez.es/admin/img_prod/GUA1/GUA1-720x540.png
123,Alacena,PUR1,Carcel  ,https://atrezzovazquez.es/admin/img_prod/PUR1/PUR1-720x540.png
124,Alfombra,ALA2,Cocina  Español  ,https://atrezzovazquez.es/admin/img_prod/ALA2/ALA2-1-720x540.png
125,Centro de mesa,ALF2,Arabe  Comedor  Salón  ,https://atrezzovazquez.es/admin/img_prod/ALF2/ALF2-1-720x540.png
126,Alfombra de cama,CDM2,Adorno  ,https://atrezzovazquez.es/admin/img_prod/CDM2/CDM2-720x540.png
127,Aparador,AFC2,Dormitorio  ,https://atrezzovazquez.es/admin/img_prod/AFC2/AFC2-720x540.png
128,Atrezzo astronomia,AP2,Alemán  Comedor  ,https://atrezzovazquez.es/admin/img_prod/AP2/AP2-1-720x540.png
129,Tortura,AST2,Astronomía  ,https://atrezzovazquez.es/admin/img_prod/AST2/AST2-pie-720x540.png
130,Arcon,TOR2,Carcel  ,https://atrezzovazquez.es/admin/img_prod/TOR2/TOR2-1-720x540.png
131,Armario,ARC2,Descatalogado  ,https://atrezzovazquez.es/admin/img_prod/ARC2/LOGOTIPO VAZQUEZ- 720x540.png
132,Armero,AR2,Dormitorio  Inglesa  ,https://atrezzovazquez.es/admin/img_prod/AR2/AR2-720x540.png
133,Ataud,ARM2,Militar  ,https://atrezzovazquez.es/admin/img_prod/ARM2/ARM2-720x540.png
134,Atril,ATD2,,https://atrezzovazquez.es/admin/img_prod/ATD2/ATD2-1-720x540.png
135,Balancin,ATR2,Religioso  ,https://atrezzovazquez.es/admin/img_prod/ATR2/ATR2-1-720x540.png
136,Banco,BL2,Juguete  Columpio  ,https://atrezzovazquez.es/admin/img_prod/BL2/BL2-1-720x540.png
137,Banqueta,BAC2,Gótico  ,https://atrezzovazquez.es/admin/img_prod/BAC2/BAC2-1-720x540.png
138,Mesa,BAN2,,https://atrezzovazquez.es/admin/img_prod/BAN2/BAN2-1-720x540.png
139,Baño,M2,Jardín  ,https://atrezzovazquez.es/admin/img_prod/M2/M2-1-720x540.png
